,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenure-grp,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,SeniorCitizen_0,SeniorCitizen_1,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1258,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.15,1046.2,0,37 - 48,1,0,1,0,1,0,1,0,0,0,0,1
1259,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,95.25,4424.2,1,37 - 48,1,0,1,0,1,0,0,1,0,1,0,0
1260,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,50.3,92.75,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1261,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,80.15,194.55,0,1-12,1,0,0,1,1,0,1,0,0,0,1,0
1262,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,51.25,612.1,0,1-12,1,0,0,1,1,0,1,0,0,0,1,0
1263,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,89.6,6127.6,1,61 - 72,1,0,0,1,1,0,0,1,1,0,0,0
1264,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,95.2,6671.7,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
1265,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,94.8,5264.3,0,49 - 60,0,1,1,0,0,1,0,1,0,1,0,0
1266,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,80.25,303.7,0,1-12,1,0,1,0,1,0,0,1,0,0,1,0
1267,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,76.1,4818.8,0,61 - 72,0,1,0,1,1,0,1,0,1,0,0,0
1268,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,110.15,6448.05,1,49 - 60,0,1,0,1,1,0,1,0,0,0,1,0
1269,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,115.55,7159.05,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1270,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,24.65,1574.5,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
1271,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,53.6,2879.2,0,49 - 60,1,0,1,0,1,0,1,0,0,0,1,0
1272,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.45,86.05,0,1-12,0,1,0,1,0,1,1,0,0,0,0,1
1273,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,88.2,4159.45,0,49 - 60,0,1,0,1,1,0,0,1,0,0,1,0
1274,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,101.15,6638.35,0,61 - 72,1,0,0,1,0,1,1,0,1,0,0,0
1275,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,56.8,3112.05,0,49 - 60,1,0,0,1,1,0,1,0,0,0,0,1
1276,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,99.4,7168.25,0,61 - 72,1,0,0,1,1,0,0,1,0,0,1,0
1277,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,20.1,1326.25,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
1278,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,60.7,2234.55,0,25 - 36,0,1,0,1,0,1,1,0,0,1,0,0
1279,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,20.95,495.15,0,25 - 36,0,1,0,1,1,0,1,0,1,0,0,0
1280,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,114.85,8317.95,0,61 - 72,1,0,0,1,1,0,0,1,1,0,0,0
1281,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,19.25,679.8,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
1282,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,62.8,62.8,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1283,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,105.5,7544,0,61 - 72,1,0,0,1,1,0,1,0,0,0,1,0
1284,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,19.85,1188.25,0,49 - 60,0,1,0,1,0,1,1,0,0,0,0,1
1285,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,89.5,676.7,1,1-12,0,1,0,1,1,0,0,1,0,0,1,0
1286,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,74.1,74.1,0,1-12,1,0,1,0,1,0,1,0,0,1,0,0
1287,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,107.5,3242.5,0,25 - 36,1,0,0,1,0,1,1,0,0,0,1,0
1288,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,19.55,1240.15,0,61 - 72,0,1,1,0,1,0,1,0,0,0,0,1
1289,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,68.8,4111.35,0,61 - 72,0,1,1,0,1,0,1,0,1,0,0,0
1290,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,84.45,5899.85,0,61 - 72,0,1,0,1,1,0,0,1,0,1,0,0
1291,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,75,632.95,1,1-12,0,1,0,1,1,0,1,0,0,0,1,0
1292,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,84.5,5193.2,0,61 - 72,1,0,1,0,1,0,1,0,1,0,0,0
1293,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,111.2,7530.8,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1294,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,44.75,270.95,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
1295,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,80.6,5460.2,0,61 - 72,1,0,0,1,0,1,1,0,1,0,0,0
1296,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,80.7,1614.2,0,13 - 24,1,0,1,0,1,0,0,1,1,0,0,0
1297,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,75.6,402.5,0,1-12,1,0,1,0,1,0,1,0,0,0,1,0
1298,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,57.6,1367.75,0,13 - 24,1,0,0,1,0,1,1,0,0,0,1,0
1299,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,44.05,483.7,1,1-12,1,0,0,1,1,0,1,0,0,0,1,0
1300,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,110.6,7962.2,0,61 - 72,0,1,0,1,1,0,1,0,0,1,0,0
1301,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,58.2,3810.8,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
1302,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,81,3533.6,0,37 - 48,1,0,0,1,0,1,1,0,0,0,0,1
1303,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,19.7,1396.9,0,61 - 72,1,0,0,1,0,1,1,0,1,0,0,0
1304,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,85.6,1345.55,1,13 - 24,0,1,0,1,1,0,0,1,1,0,0,0
1305,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,59.55,1646.45,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
1306,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,115.55,8127.6,1,61 - 72,1,0,1,0,1,0,1,0,0,1,0,0
1307,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,75.55,2680.15,0,25 - 36,1,0,1,0,1,0,1,0,0,0,0,1
1308,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,86.6,1281,1,13 - 24,0,1,1,0,1,0,0,1,0,0,1,0
1309,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,85.2,1553.9,1,13 - 24,1,0,1,0,1,0,1,0,0,0,1,0
1310,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,97.65,3207.55,1,25 - 36,1,0,0,1,1,0,1,0,0,0,1,0
1311,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,45.1,2049.05,0,37 - 48,0,1,0,1,0,1,1,0,0,1,0,0
1312,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,70.95,3629.2,0,37 - 48,0,1,1,0,1,0,1,0,1,0,0,0
1313,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,109.55,5124.55,1,37 - 48,0,1,0,1,1,0,1,0,0,0,1,0
1314,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,89.55,3474.45,1,37 - 48,1,0,0,1,0,1,1,0,0,0,1,0
1315,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.9,202.3,0,1-12,1,0,0,1,0,1,1,0,0,1,0,0
1316,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,19.95,147.5,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1317,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,24.6,86.35,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
1318,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,66.7,579,0,1-12,0,1,1,0,1,0,1,0,0,0,1,0
1319,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,19.45,19.45,1,1-12,0,1,1,0,0,1,1,0,0,0,0,1
1320,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,94.8,3131.55,0,25 - 36,0,1,0,1,0,1,1,0,0,0,0,1
1321,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,65.85,3928.3,0,49 - 60,0,1,0,1,0,1,1,0,1,0,0,0
1322,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,19.95,187.75,0,1-12,1,0,0,1,1,0,1,0,1,0,0,0
1323,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,24.65,1710.15,0,61 - 72,1,0,0,1,1,0,1,0,1,0,0,0
1324,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.35,76.35,1,1-12,1,0,0,1,0,1,1,0,0,0,0,1
1325,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,69.25,69.25,1,1-12,1,0,1,0,1,0,0,1,0,0,1,0
1326,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,51.25,2151.6,0,37 - 48,1,0,0,1,0,1,1,0,1,0,0,0
1327,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,99.5,5961.1,1,49 - 60,0,1,0,1,1,0,1,0,1,0,0,0
1328,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,54.25,1221.55,0,13 - 24,1,0,0,1,1,0,1,0,0,0,1,0
1329,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,19.4,1496.45,0,61 - 72,1,0,0,1,1,0,1,0,1,0,0,0
1330,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,56.25,1292.2,0,13 - 24,0,1,0,1,1,0,1,0,0,1,0,0
1331,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,25.15,25.15,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
1332,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,23.95,1713.1,0,61 - 72,0,1,1,0,1,0,1,0,1,0,0,0
1333,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,35.4,1748.9,0,49 - 60,0,1,1,0,1,0,1,0,0,0,0,1
1334,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,25.2,25.2,1,1-12,1,0,1,0,1,0,0,1,0,0,1,0
1335,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,45,96.45,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1336,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,75.35,1114.55,0,13 - 24,1,0,0,1,1,0,1,0,1,0,0,0
1337,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.4,609.1,0,25 - 36,0,1,1,0,1,0,1,0,1,0,0,0
1338,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.15,20.15,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1339,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,105,7133.25,1,61 - 72,0,1,0,1,1,0,1,0,0,1,0,0
1341,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,54.7,169.45,1,1-12,0,1,1,0,0,1,1,0,0,1,0,0
1342,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20,141.6,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
1343,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,73.05,4688.65,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
1344,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.5,563.05,0,25 - 36,1,0,0,1,1,0,1,0,0,0,0,1
1345,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,100.75,5985,0,49 - 60,1,0,0,1,1,0,1,0,0,1,0,0
1346,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,87.25,1258.6,1,13 - 24,1,0,0,1,0,1,1,0,0,0,1,0
1347,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,19.95,373.5,0,13 - 24,0,1,1,0,1,0,1,0,0,0,0,1
1348,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,79.95,857.2,1,1-12,0,1,0,1,1,0,1,0,0,0,1,0
1349,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,49.65,2553.35,0,49 - 60,1,0,0,1,1,0,1,0,0,0,1,0
1350,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,65.65,4322.85,0,61 - 72,1,0,0,1,1,0,1,0,0,0,0,1
1351,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,20.45,250.8,0,1-12,0,1,0,1,0,1,1,0,0,0,1,0
1352,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,60.95,4549.05,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1353,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,20.35,1359.5,0,61 - 72,0,1,0,1,0,1,1,0,0,0,1,0
1354,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,88.35,1639.3,1,13 - 24,1,0,1,0,1,0,1,0,0,0,1,0
1355,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,19.5,178.85,0,1-12,1,0,1,0,1,0,1,0,0,0,1,0
1356,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,75.2,633.85,0,1-12,1,0,1,0,1,0,1,0,0,1,0,0
1357,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,111.45,5315.1,0,37 - 48,0,1,0,1,1,0,1,0,1,0,0,0
1358,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,70.15,735.5,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1359,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,94.75,889.9,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
1360,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.05,1290,1,13 - 24,1,0,1,0,1,0,0,1,0,0,1,0
1361,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,78.45,330.05,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
1362,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,70.2,237.95,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
1363,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,92,6474.4,0,61 - 72,1,0,0,1,1,0,1,0,1,0,0,0
1364,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,85.5,4421.95,0,49 - 60,1,0,0,1,0,1,1,0,0,1,0,0
1365,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,41.05,2452.7,1,49 - 60,0,1,0,1,1,0,1,0,1,0,0,0
1366,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,85.6,813.85,1,1-12,0,1,0,1,1,0,1,0,0,0,1,0
1367,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,82.15,4904.85,0,61 - 72,0,1,0,1,1,0,0,1,0,0,1,0
1368,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,84.4,4484.05,0,49 - 60,0,1,1,0,1,0,1,0,0,0,1,0
1369,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,60.9,2033.85,0,25 - 36,1,0,1,0,1,0,1,0,0,0,0,1
1370,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,20.25,538.2,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
1371,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,79.2,79.2,1,1-12,1,0,1,0,1,0,0,1,0,0,1,0
1372,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,95.3,2192.9,0,13 - 24,0,1,1,0,1,0,1,0,0,0,0,1
1373,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.85,19.85,0,1-12,0,1,1,0,0,1,1,0,0,0,0,1
1374,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,84.35,3858.05,0,37 - 48,0,1,0,1,0,1,1,0,0,0,0,1
1375,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,19.85,854.8,0,37 - 48,1,0,0,1,0,1,1,0,1,0,0,0
1376,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,70,347.4,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1377,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,82.3,5815.15,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1378,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,66.8,3970.4,0,49 - 60,1,0,0,1,0,1,1,0,1,0,0,0
1379,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,44.6,3058.15,0,61 - 72,1,0,1,0,1,0,1,0,1,0,0,0
1380,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,98.45,6145.2,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1381,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,70.7,129.2,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
1382,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,24.95,1165.9,0,37 - 48,1,0,0,1,0,1,1,0,0,0,0,1
1383,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,49.95,49.95,1,1-12,1,0,1,0,1,0,1,0,1,0,0,0
1384,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,69.25,1554,1,13 - 24,1,0,0,1,1,0,1,0,0,0,1,0
1385,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,102.5,4904.25,0,37 - 48,1,0,1,0,1,0,1,0,0,1,0,0
1386,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,86.55,5632.55,0,61 - 72,0,1,1,0,1,0,1,0,0,1,0,0
1387,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,24.3,1643.25,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1388,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,58.35,740.55,0,1-12,1,0,0,1,0,1,1,0,0,1,0,0
1389,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,94.25,3217.55,1,25 - 36,1,0,0,1,1,0,0,1,0,0,1,0
1390,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,68.75,4888.2,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
1391,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,85.8,2440.25,0,25 - 36,0,1,0,1,1,0,1,0,0,0,1,0
1392,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,20.1,620.55,0,25 - 36,0,1,0,1,0,1,1,0,0,1,0,0
1393,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.35,20.35,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
1394,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,110.8,6840.95,0,61 - 72,1,0,0,1,0,1,1,0,0,0,1,0
1395,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,73,3001.2,1,37 - 48,0,1,0,1,1,0,1,0,0,0,1,0
1396,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,100.05,6254.2,1,61 - 72,1,0,1,0,1,0,1,0,0,1,0,0
1397,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,82.85,319.6,0,1-12,1,0,1,0,1,0,1,0,0,1,0,0
1398,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,84.35,1938.05,0,13 - 24,1,0,1,0,1,0,1,0,0,0,1,0
1399,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,19.55,294.5,0,13 - 24,1,0,0,1,0,1,1,0,0,0,0,1
1400,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.95,58.3,0,1-12,0,1,1,0,0,1,1,0,0,0,0,1
1401,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,99.8,442.85,1,1-12,1,0,1,0,1,0,0,1,0,1,0,0
1402,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,35,553,1,13 - 24,1,0,1,0,0,1,1,0,0,0,1,0
1403,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,66.25,546.45,0,1-12,0,1,1,0,1,0,1,0,0,0,1,0
1404,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,23.3,797.1,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
1405,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,76,76,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
1406,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,25.3,1673.8,0,61 - 72,0,1,1,0,0,1,1,0,0,1,0,0
1407,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,44.55,343.45,0,1-12,0,1,1,0,0,1,1,0,0,0,0,1
1408,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,104.1,7412.25,0,61 - 72,1,0,0,1,1,0,1,0,0,1,0,0
1409,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,92.55,4039,0,37 - 48,1,0,0,1,0,1,1,0,1,0,0,0
1410,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,93.85,170.85,1,1-12,1,0,1,0,1,0,0,1,0,0,1,0
1411,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,101.45,2948.6,0,25 - 36,0,1,1,0,1,0,0,1,1,0,0,0
1412,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,84.3,1308.4,1,13 - 24,1,0,0,1,1,0,1,0,0,0,1,0
1413,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,94.55,6078.75,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
1414,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,95.5,3418.2,0,25 - 36,0,1,1,0,1,0,1,0,0,0,1,0
1415,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,100.3,6603.8,0,61 - 72,0,1,1,0,1,0,1,0,0,1,0,0
1416,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,55.5,3166.9,0,49 - 60,1,0,0,1,0,1,1,0,0,1,0,0
1417,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,49.85,865.75,0,13 - 24,1,0,1,0,1,0,0,1,0,1,0,0
1418,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,89.55,6373.1,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
1419,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,19.15,1177.05,0,61 - 72,0,1,0,1,0,1,1,0,0,0,0,1
1420,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.8,5985.75,0,49 - 60,1,0,0,1,1,0,1,0,0,0,1,0
1421,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,84.4,732.5,1,1-12,0,1,1,0,1,0,0,1,0,1,0,0
1422,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,113.05,7869.05,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
